GRC	ENG	Frequency
βίηφιν	might	2
δόλῳ	craft	2
κτείνει	death	2
ἐμὸν	my	1
ἀλέασθαι	fly	1
ἄνακτι	a Deity	1
ἐγέλασσε	with joy was	1
ὣς	they	1
ἀπιόντες	leaving him	1
ἐξαπάτησεν	deceiv’d	1
μῆτις	wit	1
καὶ	And	1
ὠδίνων ὀδύνῃσι	pain	1
νοῦσον	That	1
ψηλαφόων	groping	1
λίθον	stone	1
καθέζετο	sat	1
θύρῃσι	in the door	1
χεῖρε πετάσσας	feeling	1
στείχοντα	issued	1
νήπιον	a fool	1
οἶον	alone	1
ἔστι	is	1
κῆρ	heart	1
λάβοι	Esteeming	1
μεγάλου	great	1
αὐτὸς δʼ	he	1
ἀγόρευον	said	1
διʼ ἀμβροσίην	sacred	1
αὐτὰρ	then	1
σπήεσσι	caverns	1
ἠνεμοέσσας	windy	1
ἀίοντες	hearing	1
ἐφοίτων	Rush’d	1
εἴροντο	inquir’d	1
κήδοι	afflicted	1
ἐβόησας	exspir’d	1
νύκτα	Night	1
καὶ	and	1
γʼ	to thee	1
ἄμμε	their	1
ἀύπνους	break sleeps	1
βροτῶν	mortal	1
ἐλαύνει	driv’n	1
ἐξ	from	1
ἄντρου	his den	1
προσέφη	answer’d	1
Πολύφημος	He	1
Οὖτίς	No-Man	1
οὐδὲ	nor	1
εὔχεο	Pray	1
γʼ	thou	1
ἐμὸν δʼ	My	1
μετʼ	lay hold	1
ἀλλὰ	yet	1
πατρὶ Ποσειδάωνι	Father	1
σύ	to thy	1
ὡς ὄνομʼ	name	1
στενάχων	groaning	1
τε καὶ	up and down	1
δὲ	And	1
εἷλε	which found	1
τινά	some man	1
εἴ	if	1
ὄεσσι	his sheep	1
πως	which is done	1
οὕτω	that could	1
μʼ	No	1
ἤλπετʼ	devise	1
φρεσὶ	stratagem	1
τόσον	horrid clamours	1
τίπτε	Ask’d him	1
ἑ	he	1
Διὸς	by Jove	1
οἱ δὲ	Who	1
οἱ δʼ	They	1
ἄρʼ ἔφαν	spake	1
βιάζεται	hurt	1
ὁ	other	1
ἄκριας	a promontory	1
μεγάλʼ	Out	1
οἵ	that	1
ἀμφὶς	by Upon	1
ᾤκεον	dwell’d	1
ἐν	in	1
τὸν μὲν	he	1
ἕο	the wood	1
μιν	he	1
ἤπυεν	did cry	1
Κύκλωπας	For Cyclops	1
βοῆς	yell’d	1
σε	thee	1
ἄλλοθεν	ev’ry way	1
ἄλλος	about him	1
ὅττι	What	1
ἦ	Came	1
τίς	some	1
σευ	his	1
ἀπαμειβόμενοι ἔπεα	right	1
εἰ	‘If	1
μή	no	1
τίς	man	1
ἔρριψεν	hurl’d	1
