AKK	ENG	Frequency
ù	and	8
KÁ DINGIR RA KI	of Babylon	5
BÀD	wall	4
i-na	with	4
ki-ma	like	3
la	no	3
ku-up-ri	bitumen	3
a-gur-ri	baked brick	3
KÁ GAL MEŠ	gates	3
na-ak-li-iš	skillfully	2
ši-na-a-ti	those	2
LUGAL	king	2
a-na	as	2
GIŠ EREN	of cedar	2
KÁ DINGIR RA KI	Babylon	2
me-e	of water	2
ZABAR	of bronze	2
AM AM	wild bulls	2
URUDU	of copper	2
ša	that	2
aḫ-re-e-ma	I dug out	2
MÈ	battle	1
GI	arrow	1
ú-na-am-mi-ir	I made shine	1
uš-ma-al-lam	I filled	1
lu-le-e	splendor	1
ni-ši	of people	1
tab-ra-a-ti	wonder	1
a-na	of	1
uš-zi-iz	I stationed	1
KIŠ	for all	1
im-gur- d EN LÍL	Imgur-Enlil	1
a-na	to	1
i-ta-a-ti	outside	1
la	too	1
né-si-iš	far away	1
ù-šá-as-ḫi-ir	I surrounded	1
d UTU È	eastern	1
BAL RI	bank	1
da-num	fortified	1
qá-qá-ri	distance	1
i-na	At	1
KÙŠ	cubits	1
4 LIM	4 000	1
ma-na-ma	something	1
i-pú-šu	had done	1
maḫ-ri	of past	1
ṭa-ḫe-e	can come close	1
si-ip-pe-ši-na	their door-jamb	1
e-ma	At each of	1
še-zu-zu-ti	raging	1
iš-ta-ap-pi-la	became too low	1
a-gur-ri	baked bricks	1
ú-šar-ši-id-ma	secured	1
i-šid-si-in	foundation	1
mé-ḫe-ra-at	at level	1
ad-ke-e-ma	I removed	1
né-re-ba-ši-in	entrances	1
su-le-e	of street	1
KÙ-tim	shining	1
ta-am-le-e	raising	1
i-na	as a result of	1
ki-la-at-ta-an	both	1
né-mé-et-ti- d EN LÍL	Nēmetti-Enlil	1
EN LÍL im-gur- d	Imgur-Enlil	1
ša	of	1
NA₄ ZA GÌN	blue glaze	1
MUŠ ḪUŠ	mušḫuššu-dragon	1
MUŠ ḪUŠ	mušḫuššu-dragons	1
às-ku-up-pu	threshold	1
e-ek-du-tim	fierce	1
e-er-te-et-ti	I hung	1
KÁ KÁ-ša	its gates	1
ḫi-ri-is-su	its moat	1
pí-ti-iq	cast	1
nu-ku-še-e	nukuššû-fittings	1
ta-aḫ-lu-up-ti	facing	1
ba-nu-ú	fashioned	1
GIŠ IG GIŠ IG	doors	1
ú-ša-at-ri-iṣ	I had stretched	1
ṣú-lu-li-ši-na	their roofs	1
da-nu₄-ti	hard	1
GIŠ EREN	cedar	1
ú-še-piš	I had built	1
qer-bu-uš-ša	upon them	1
ṭa-ḫe-e	to approach	1
ša-ad-la-a-ti	broad	1
ak-ṣú-ur-ma	built	1
ša	whom	1
e-pe-ri	earthen	1
ma-aṣ-ṣar-ti	protection	1
ú-da-an-ni-in-ma	I reinforced	1
URU KI	city	1
ni-ṣir-ti	fortress	1
áš-ku-un	establishing	1
ṭa-a-bi-su-pu-úr-šu	Ṭābi-supūršu	1
bar-sí-pà KI	of Borsippa	1
e-eš-ši-iš	anew	1
e-pú-uš	I built	1
ḫi-ri-it-su	its moat	1
ak-ṣú-úr	constructed	1
ki-bi-ir-ša	its embankment	1
d AG-ku-du-úr-ri-ú-ṣu-úr	Nebuchadnezzar	1
d AMAR UTU	Marduk	1
uš-ta-as-ḫi-ir-šu-nu-tim	surrounded them	1
é-zi-da	Ezida	1
GAL GAL	great	1
DINGIR	of gods	1
eš-re-e-ti	sanctuaries	1
ú-še-pí	I made shine forth	1
d UTU-šu	of Šamaš	1
ša-ru-ru	sheen	1
é-sag-íl	Esagil	1
EN	lord	1
a-na-ku-ma	I	1
ib-bu-šu	named	1
URU-šu	for his city	1
dam-qá-a-ti	good things	1
a-na	for	1
GAL	great	1
ši-pí-ik	dikes	1
a-gu-úr-ri	baked brick	1
ki-bi-ir-šu	its embankment	1
ú-ra-ak-ki-is-ma	fitted them	1
i-te-e	to outskirts	1
a-a-bi	enemy	1
aš-šum	So that	1
e-er-te-et-ti-ši-na-a-ti	I constructed	1
taḫ-lu-up-ti	facing	1
GIŠ IG MEŠ	doors	1
u₄-mi-iš	like daylight	1
la sa-na-qá	can come	1
KÁ GAL MEŠ-šu	its gates	1
ab-nim	I built	1
ša-da-ni-iš	like mountain	1
GÚ-šu	its embankment	1
i-na	on	1
da-núm	fortified	1
TIN TIR KI	of Babylon	1
pa-ni₇	close	1
ka-a-ri	embankments	1
gi-pí-iš	roiling	1
áš-ta-ap-pa-ak-šu-nu-tì-ma	I heaped them up	1
la šu-ub-ši-i	to prevent	1
qé-er-ba-šu-un	in them	1
bu-tu-uq-ti	breaks	1
ma-ar-ti	bitter	1
ia-ar-ri	body of water	1
ti-a-ma-ti	sea	1
ra-bí-ù-tim	huge	1
gal-la-ti	roiling	1
ti-a-am-ti	sea	1
e-ber	crossing	1
e-bé-er-šu-un	crossing them	1
ú-ša-al-mi-ma	I had surrounded	1
MA DA	land	1
d iš₈-tár-sa-ki-pa-at-te-e-bi-ša	Ištar-sākipat-tēbîša	1
