AKK	ENG	Frequency
i-na	in	4
ù	and	3
ša	which	2
i-ši-id-sa	its foundation	2
É GAL	palace	2
KÁ DINGIR RA KI	Babylon	2
URU	city	2
me-e	water	2
d AMAR UTU	Marduk	2
ma-ak-ku-ru	property	2
iš-tu	from	2
LUGAL	king	2
a-di	to	2
i-na	with	2
ú-ša-pa	I have made resplendent	1
ul	no more	1
URU KI	city	1
bar-sí-pa KI	Borsippa	1
a-ra-mu	I have loved	1
TIN TIR KI	Babylon	1
ba-na-a	beautiful	1
la-an-šu-un	their bod ies	1
i-na	In	1
a-qar-ti	precious	1
na-ap-ša-ti	my life	1
ki-ma	as	1
ba-ú-la-a-tu-šu	his subjects	1
e-li	than	1
ta-ab-ra-a-ti	object of wonder	1
ni-iš IGI II-ia	of my choice	1
er-ṣe-ti	district	1
ÍD BURANUN KI	of Euphrates	1
GÚ	bank	1
d UTU È	eastern	1
pa-al-ga	canal	1
li-bi-il-ḫé-gál-la	Lībil-ḫegalla	1
im-gur- d EN LÍL	Imgur-Enlil	1
qé-re-eb	in	1
KÁ DINGIR RA KI	Ka-dingirra	1
šar-ru-ti	of my royal majesty	1
šá	that	1
at-ma-ni₇	cella	1
el-lam	holy	1
ku-um-mu	private room	1
MA DA	of land	1
ma-ar-ka-sa	bond	1
ni-ši	for people	1
ki-i-nim	true	1
É	building	1
a-ra-am-ma	I love	1
ip-qí-du	entrusted	1
ma-ti-ta-an	any land	1
a-pí-il-šu	his heir	1
ma-du-ti	many	1
zi-ki-ir-šu-un	name	1
iz*-ku-ru	had called	1
šar-ru-tim	king	1
a-na	to	1
i-lu	god	1
ša	whose	1
maḫ-ri-ia	before me	1
a-lik	who came	1
LUGAL	kings	1
ni-iš i-ni-šu-nu	of their choice	1
a-li-di-ia	who engendered me	1
a-bi	father	1
TIR KI TIN	of Babylon	1
dAG-IBILA-ú-ṣu-ur	Nabopolassar	1
pa-le-e	reign of	1
a-di	until	1
ul-lu-ti	distant	1
u₄-um	days	1
ul-tu	from	1
URU URU	cities	1
a-ša-ar	place	1
d AG	Nabû	1
i-si-ni₇	festival	1
ib-na-an-ni	created me	1
a-na	for	1
iš-tu	Since	1
šu-an-na KI	Šuanna	1
i-ru-bu	they entered	1
DINGIR DINGIR	of gods	1
d EN LÍL	of Enlil	1
ta-bé-e	setting out	1
zag-mu-ku	of New Year	1
i-na	During	1
iš-ta-a-mu	they loved	1
ma-ak-ku-ur-šu-un	their property	1
ú-qá-ri-nu	heaped up	1
ú-na-ak-ki-mu	They accumulated	1
i-na qé-er-bi	inside	1
bu-ša-šu-num	their possessions	1
šu-ba-at-su-un	their residences	1
ir-mu-ù	established	1
i-te-ep-pu-šu	built	1
É GAL É GAL	palaces	1
šar-ru-ú-ti	kingship	1
a-ba	father	1
a-a-i-bur-ša-bu-ù	Ay-ibūr-šabû	1
šu-qú-ru	valuable	1
qù-ur-du	of valor	1
qé-re-eb-šu	inside it	1
ú-qá-ri-in	I heaped up	1
si-ma-at	worthy	1
ta-na-da-a-tum	of praise	1
bu-ša-a	possessions	1
šu-un-du-lu	abundance of	1
šu-um-šu	that	1
mi-im-ma	anything	1
ni-ṣir-ti	treasure	1
ni-si-iq	precious	1
NA₄	stone	1
KÙ GI	gold	1
KÙ BABBAR	silver	1
e-er-te-et-ti	I fixed	1
KÁ KÁ-šu	its gates	1
e-ma	At each of	1
URUDU	copper	1
ta-áš-ri-iḫ-tum	glory	1
šar-ru-ti	royal	1
nu-ku-še-e	nukuššû-fittings	1
da-ad-mi	settlement	1
áš-ta-ak-ka-an	I put	1
ul	nor	1
šar-ru-ti	king	1
si-ma-at	befitting	1
be-lu-ti	lordly	1
at-ma-nu	abode	1
ab-na-a	I did build	1
ul	not	1
ka-al	any	1
ú-na-ak-ki-im	I accumulated	1
ŠÀ	heart	1
i-ra-am-mu	did desire	1
la	not	1
ša-nim-ma	other	1
šar-ru-ti-ia	of my royal majesty	1
né-me-du	seat	1
áš-šum	Because	1
lib-bu-uš-šu	inside it	1
pi-ti-iq	of cast	1
às-ku-up-pi	threshold	1
d na-bi-um-IBILA-ú-ṣu-úr	Nabopolassar	1
i-ni-iš-ma	had become weak	1
KÁ KÁ-ša	gates	1
iš-ta-ap-pi-la	had become too low	1
ša-a-tim	that	1
ša	of	1
KÁ DINGIR RA KI	of Babylon	1
su-le-e	of street	1
ta-am-le-e	raising	1
i-na	as a result of	1
mi-lum	flood	1
bi-ši-ti	molding	1
i-na	on account of	1
qé-er-eb-ša	inside	1
i-ir-mu-ú	taken up residence	1
ib-ši-mu-ma	had created	1
SIG₄	brick	1
ba-nu-ú-a	who engendered me	1
qé-er-bi	in	1
TIN TIR KI	of Babylon	1
i-ga-ru-ša	its wall	1
SIG₄	of brick	1
ZABAR	of bronze	1
ḫu-úr-sa-ni-iš	as high as mountain	1
ta-aḫ-lu-up-ti	facing	1
GIŠ EREN	of cedar	1
GIŠ IG MEŠ	doors	1
ú-ša-at-ri-iṣ	I had stretched	1
ṣú-lu-li-šu	its roof	1
a-na	as	1
da-nu₄-ti	hard	1
GIŠ EREN	cedar	1
ú-za-aq-qí-ir-ša	raised	1
ad-ke-e-ma	I removed	1
a-gur-ri	baked brick	1
ku-up-ri	bitumen	1
ú-ša-ar-ši-id-ma	I secured	1
mé-ḫe-ra-at	at level of	1
me-e	water table	1
ak-šu-ud	reached	1
šu-pú-ul	table	1
ap*-te-e-ma	open up	1
te-me-en-ša	its foundation	1
pa-na-ma	In past	1
