AKK	ENG	Frequency
É	temple	5
ina	in	4
MU-šú	his name	4
d AG	Nabû	4
d taš-me-tum	Tašmētu	3
it-ti	with	3
šú-a-tú	that	3
d PAPNUN	Tašmētu	3
MU SAR-e	object	2
ši -⸢ṭir⸣	inscribed	2
še-me-e	auspicious	2
u₄-me	day	2
la	does not	2
la-ba-riš	old	2
AN ŠÁR	Aššur	2
ši-ṭir	inscribed	2
ITI	month	2
d AMAR UTU	Marduk	2
LUGAL	king	2
aš-šur-i-ti	Assyrian	2
a-a	not	2
d iš-tar	of Ištar	2
GAL MEŠ	great	2
DINGIR MEŠ	gods	2
LUGAL MEŠ	kings	2
lìb -⸢bi⸣-ia	my hear	1
e-pe-eš	to build	1
ub-la	wanted	1
áš-ri-šú-nu	their places	1
lu-ḫal-li-qu	make disappear	1
muš-te-eʾ-u	assiduous towards	1
pa-liḫ	who reveres	1
KUR AN ŠÁR KI	of Assyria	1
ŠÚ	of world	1
m d 30-LUGAL-GAR-un	Sîn-šarra-iškun	1
ib-ba-ši-ma	conceived	1
ka-kù-gal-lu-ti	of incantation priest	1
ina	According to	1
ina	with	1
UŠ₈-šú	its foundations	1
ul-tu	from	1
ḫur-šá -⸢niš⸣	as mounta in	1
ú-zaq-qir	made as high	1
uš-mal-li -ma	I filled in	1
tem-me-en-ši	its foundation	1
NA₄ pi-i-li	limestone	1
uz-nu	attention	1
GIŠ ḪUR-šú	its plan	1
ši-pir	craft	1
ina	according to	1
DÙG ⸢GA⸣	favorab le	1
maḫ-ri-ti	former	1
MAŠ KÁN-šú	its site	1
ina	on	1
la-bir-tú	original	1
a-na-ku	I	1
⸢É⸣	temple	1
iš-ku-nu	they pay	1
e-pu-uš	had built	1
m d IŠKUR-ERIM TÁḪ	Adad-nārārī	1
⸢e⸣-na-aḫ-ma	it became dilapidated	1
e-pu-uš	built	1
m mu tak-kil- d nusku	of Mu takkil-Nusku	1
A	son	1
m d ⸢aš-šur-SAG -i -ši	Aššur-rēša-iši	1
e-na-aḫ-ma	became dilapidated	1
AN ŠÁR	of Aššur	1
m šam-ši- d IŠKUR	of Šamšī-Adad	1
É	of temple	1
DÙ	builder	1
m d ⸢sál⸣-ma-nu-MAŠ	Sha lmaneser	1
šá	which	1
bal⸣- til KI	B altil	1
qé-⸢reb	inside	1
šá	that	1
d AG	Nabû of	1
DUMU	son	1
e-pu-uš-⸢ma	built	1
ul	did not	1
sur-qé-ni	strewn offerings	1
iḫ-su-su-nim-ma	did think about	1
la	not	1
gaba-dib-bi-šú	its crenellations	1
DÙ-eš	building	1
maḫ-ri-ia	before me	1
a-li-kut	who came	1
AD MEŠ-ia	my ancestors	1
i-maḫ-ḫa-ru	they received	1
e-na⸣- aḫ-ma	it became dilap idated	1
áš-bu-ma	took up residence	1
AG d	Nabû	1
qaq-qa-riš	level with ground	1
i-te-me	became	1
il-lik-ma	it fell	1
ni-du-tú	disrepair	1
UD MEŠ ma-aʾ -du-ti	lo ng time	1
ul-tu	For	1
a-di	to	1
ul-tu	of	1
ar-ṣip	I built	1
liš-kun	place	1
šá	who	1
i-šem-mu-u	hear	1
ik-ri-bi-šú	his prayers	1
d ⸢zar⸣-pa-⸢ni⸣- tum	Za rpanī tu	1
d ⸢AG⸣	Na bû	1
d NIN LÍL	Mullissu	1
⸢li⸣-iq-qí	make	1
MU-⸢ia⸣	my name	1
ni-qa-a	an offering	1
lip-šu-uš	anoint	1
Ì GIŠ	with oil	1
li-mur-ma	May he find	1
MU-ia	my name	1
MU SAR-ú	object	1
lu-ud-diš	renovate	1
MU SAR-u	object	1
ú-nak-kar-ú-ma	removes	1
in-na-⸢ḫu⸣-ma	becomes dilapidated	1
iš-mu-ú	heed	1
ina	from	1
NUNUZ-šú	his offspring	1
NUMUN-šú	his seed	1
⸢li⸣-ru-ru-šú-ma	they curse him	1
ag-giš	angrily	1
su-up-pi-šu	his supplications	1
iz-zi-zu-ma	be present	1
i-šak-ka-nu	place	1
ni-iš ⸢ŠU II-šú⸣	h is pra yers	1
a-na	for	1
d zar-pa-ni-tum	Zarpanītu	1
d NIN ⸢LÍL⸣	Mullis su	1
i-šaṭ-ṭa-ru	write	1
šu-mi	my name	1
ù	and	1
an-ḫu-us -⸢su⸣	it s dilapidated section	1
e-nu-ma	when	1
ú-šak-lil	completed	1
qé-reb-šú	inside it	1
⸢reš⸣-tu-u-ti	prime quality	1
GU₄ MAḪ-ḫi	prize bulls	1
da-ra-a-ti	eternal	1
BÁRA	dais	1
ú-šar-me	made them dwell	1
ú-še-rib-ma	I made enter	1
DÙG GA	favorable	1
ma-ru-u-ti	fattened	1
KUR	land	1
ú-še-ṣa -am-ma	I brought out	1
EN MEŠ -ia	my lord s	1
ú-nam-mir	made shine	1
u₄-me	daylight	1
ki-ma	like	1
-ia	my	1
GUKKAL MEŠ	fat-tailed sheep	1
zi-i-bi	food offerings	1
DUMU MEŠ -⸢ia⸣	m y descendants	1
ḫa-diš	with pleasure	1
ina	one of	1
EGIR-u	future	1
NUN	ruler	1
LUGAL-u-ti	my kingship	1
ik-tar-ra-bu	constantly blessed	1
ip-pal -⸢su⸣-ma	looke d upon	1
SIG₅ MEŠ	good	1
qa-áš-du-ti	pure	1
ep-še-ti-ia	my deeds	1
é-kur-ri	temple	1
qé-reb	inside	1
uš-par-zi-ḫa	I lavishly provided	1
aq -⸢qí⸣-ma	I offe red	1
EN MEŠ-ia	my lords	1
ina ma-ḫar	before	1
ina u₄-mi-šú-ma	At that time	1
