GRC	ENG	Frequency
τίς	man	2
δόλῳ	trick	2
ἐμὸν δʼ	I	1
νύκτα	night	1
ἀμβροσίην	blessed	1
καὶ	And	1
ἄμμε	us	1
τίθησθα	keeping	1
ἀύπνους	up	1
ἦ	Is	1
σευ	your	1
μῆλα	flocks	1
ἐλαύνει	stealing	1
κτείνει	killing	1
σʼ αὐτὸν	you	1
Οὖτίς	‘Noman	1
με	me	1
κτείνει	is killing	1
Πολύφημος	Polyphemus	1
οἱ δʼ	They	1
ἀπαμειβόμενοι	back	1
ἔπεα	words	1
πτερόεντʼ	winging	1
ἀγόρευον	sent	1
εἰ	‘If	1
ἐβόησας	hollering	1
βοῆς	his cry	1
ἑ	him	1
ἠνεμοέσσας	windswept	1
Κύκλωπας	To the Cyclopes	1
αὐτὰρ	and	1
ἤπυεν	shouting	1
οἵ	who	1
ἀμφὶς	around	1
ᾤκεον	lived	1
ἐν	In	1
σπήεσσι	caverns	1
διʼ	among	1
ἄκριας	crags	1
οἱ δὲ	They	1
ὅττι	what	1
ἀίοντες	heard	1
ἐφοίτων	gathered	1
ἄλλοθεν	from sides	1
ἄλλος	all	1
εἴροντο	asked him	1
περὶ	Around	1
σπέος	cave	1
τίπτε	why	1
Πολύφημʼ	‘Polyphemus	1
κήδοι	ailed	1
μή	no	1
σε	you	1
τὸν μὲν	it	1
προσέφη	shouted	1
χεῖρε	hands	1
πετάσσας	spread out	1
εἴ	To	1
τινά	anyone	1
ὄεσσι	with the sheep—	1
λάβοι	catch	1
στείχοντα	went	1
θύραζε	out	1
νήπιον	stupid	1
οὕτω	so	1
τοὺς δʼ	them	1
θύρῃσι	the entrance	1
ἀπὸ	Away from	1
ἕο	him	1
ἀλύων	blundering	1
μιν	him	1
ὧδʼ	so	1
τόσον	much	1
ἄρʼ	then	1
ἀμύμων	so well	1
γάρ	As	1
εἶναι	be	1
καθέζετο	sat	1
εἰνὶ	in	1
βιάζεται	is hurting	1
ἀπιόντες	They left	1
νοῦσον	sickness	1
οὔ πως	can’t	1
ἔστι	Comes	1
Διὸς	Zeus	1
ἀλέασθαι	be helped	1
σύ	You	1
εὔχεο	pray	1
πατρὶ	to your father	1
Ποσειδάωνι	Poseidon	1
ἄνακτι	Lord	1
ἐγέλασσε	laughed	1
ἀπὸ εἷλε	he removed	1
κῆρ	heart	1
ὡς	how	1
ὄνομʼ	name	1
ἐξαπάτησεν	fooled them	1
ἐμὸν	my	1
μῆτις	phony	1
Κύκλωψ	Cyclops	1
στενάχων	was groaning	1
ὠδίνων ὀδύνῃσι	in agony	1
ψηλαφόων	Groping	1
λίθον θυράων	doorstone	1
ἔρριψεν	flung	1
